colinear,0.0578853
angular,0.08
Metodo,Fx,Fy,Uo,V0,rms
OpenCV,553.225,549.355,328.675,253.739,0.179659
Iteration 1,548.38,545.454,326.418,259.013,0.13023
Iteration 2,547.929,544.978,325.661,258.909,0.126293
Iteration 3,545.112,542.258,325.474,259.765,0.125644
Iteration 4,536.957,534.155,323.821,261.359,0.127757
Iteration 5,551.732,548.81,326.099,258.423,0.133025
Iteration 6,547.834,544.908,325.646,259.115,0.126523
Iteration 7,546.771,543.839,325.403,259.147,0.125698
Iteration 8,536.621,533.842,323.792,261.449,0.127855
Iteration 9,551.595,548.716,326.262,258.577,0.132118
Iteration 10,547.777,544.967,325.45,259.721,0.126362
Iteration 11,548.086,545.219,325.628,259.083,0.126204
Iteration 12,547.855,544.91,325.559,258.894,0.125607
Iteration 13,546.417,543.577,325.569,259.624,0.127054
Iteration 14,537.095,534.292,323.824,261.307,0.12849
Iteration 15,552.175,549.26,326.293,258.284,0.132368
Iteration 16,549.097,546.162,325.747,258.8,0.126662
Iteration 17,546.449,543.53,325.449,259.229,0.125633
Iteration 18,
